Id,Category
0,6
1,10
2,10
3,9
4,6
5,3
6,9
7,10
8,10
9,2
10,1
11,8
12,6
13,10
14,8
15,4
16,9
17,10
18,5
19,9
20,3
21,5
22,3
23,3
24,9
25,3
26,10
27,10
28,6
29,8
30,2
31,9
32,6
33,2
34,2
35,2
36,5
37,10
38,10
39,2
40,6
41,1
42,10
43,2
44,5
45,1
46,10
47,3
48,8
49,9
50,10
51,1
52,3
53,8
54,2
55,8
56,5
57,6
58,6
59,9
60,5
61,8
62,6
63,3
64,10
65,8
66,8
67,9
68,4
69,10
70,2
71,5
72,6
73,8
74,9
75,6
76,4
77,9
78,9
79,9
80,7
81,3
82,9
83,8
84,6
85,3
86,4
87,4
88,10
89,6
90,10
91,2
92,7
93,2
94,6
95,6
96,1
97,10
98,6
99,10
100,9
101,2
102,10
103,9
104,4
105,7
106,6
107,5
108,9
109,6
110,5
111,5
112,4
113,8
114,9
115,10
116,9
117,6
118,9
119,2
120,8
121,5
122,8
123,2
124,10
125,8
126,5
127,8
128,10
129,9
130,5
131,3
132,3
133,10
134,9
135,2
136,6
137,10
138,10
139,0
140,10
141,4
142,10
143,5
144,1
145,10
146,9
147,8
148,10
149,2
150,5
151,10
152,6
153,10
154,10
155,1
156,2
157,1
158,8
159,10
160,5
161,10
162,5
163,5
164,9
165,2
166,5
167,8
168,3
169,9
170,10
171,2
172,4
173,4
174,7
175,10
176,9
177,10
178,8
179,5
180,10
181,8
182,9
183,6
184,10
185,9
186,10
187,5
188,2
189,10
190,1
191,3
192,2
193,3
194,5
195,10
196,8
197,7
198,4
199,4
200,9
201,2
202,8
203,7
204,4
205,7
206,10
207,9
208,10
209,4
210,3
211,5
212,10
213,2
214,2
215,2
216,10
217,3
218,6
219,5
220,10
221,2
222,2
223,7
224,5
225,5
226,9
227,9
228,6
229,5
230,7
231,2
232,6
233,2
234,10
235,9
236,0
237,10
238,10
239,6
240,2
241,3
242,8
243,10
244,2
245,10
246,2
247,9
248,10
249,2
250,9
251,3
252,2
253,2
254,5
255,6
256,10
257,9
258,10
259,10
260,10
261,8
262,10
263,10
264,4
265,9
266,1
267,6
268,0
269,9
270,4
271,10
272,8
273,10
274,2
275,10
276,9
277,10
278,5
279,4
280,9
281,9
282,2
283,0
284,10
285,9
286,2
287,4
288,3
289,10
290,9
291,4
292,8
293,10
294,10
295,6
296,7
297,2
298,10
299,5
300,6
301,9
302,8
303,1
304,0
305,10
306,10
307,3
308,9
309,3
310,1
311,3
312,1
313,8
314,10
315,5
316,7
317,10
318,5
319,9
320,3
321,2
322,5
323,7
324,4
325,10
326,2
327,6
328,10
329,10
330,3
331,0
332,10
333,9
334,10
335,9
336,3
337,3
338,5
339,10
340,9
341,6
342,5
343,8
344,5
345,4
346,10
347,6
348,4
349,9
350,10
351,10
352,6
353,2
354,6
355,10
356,8
357,10
358,10
359,4
360,9
361,5
362,10
363,2
364,8
365,5
366,4
367,2
368,10
369,6
370,9
371,4
372,2
373,2
374,6
375,6
376,9
377,9
378,1
379,5
380,10
381,6
382,2
383,2
384,10
385,5
386,4
387,10
388,10
389,8
390,6
391,7
392,10
393,10
394,6
395,10
396,10
397,8
398,10
399,9
400,9
401,4
402,9
403,9
404,10
405,3
406,10
407,10
408,5
409,4
410,6
411,7
412,3
413,6
414,8
415,7
416,0
417,4
418,9
419,8
420,5
421,10
422,2
423,10
424,8
425,9
426,6
427,9
428,9
429,9
430,5
431,5
432,10
433,10
434,8
435,2
436,8
437,10
438,2
439,5
440,10
441,4
442,2
443,10
444,2
445,3
446,0
447,10
448,7
449,2
450,4
451,9
452,10
453,9
454,6
455,6
456,4
457,8
458,8
459,10
460,10
461,9
462,10
463,10
464,10
465,2
466,6
467,10
468,10
469,2
470,5
471,4
472,8
473,8
474,9
475,0
476,6
477,2
478,2
479,6
480,5
481,4
482,3
483,1
484,10
485,5
486,8
487,9
488,5
489,9
490,8
491,5
492,7
493,2
494,2
495,2
496,8
497,10
498,9
499,10
500,7
501,1
502,5
503,6
504,10
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,4
515,2
516,6
517,9
518,5
519,10
520,5
521,3
522,7
523,9
524,2
525,6
526,9
527,9
528,6
529,4
530,4
531,3
532,0
533,6
534,7
535,10
536,3
537,2
538,8
539,2
540,2
541,10
542,10
543,3
544,9
545,8
546,0
547,5
548,3
549,10
550,9
551,8
552,8
553,0
554,10
555,10
556,9
557,5
558,9
559,2
560,10
561,2
562,2
563,8
564,6
565,6
566,5
567,1
568,10
569,9
570,9
571,5
572,10
573,5
574,2
575,5
576,10
577,10
578,8
579,3
580,9
581,5
582,5
583,9
584,3
585,6
586,2
587,2
588,6
589,5
590,4
591,10
592,4
593,5
594,2
595,9
596,0
597,2
598,4
599,10
600,5
601,10
602,6
603,6
604,6
605,9
606,6
607,4
608,5
609,8
610,5
611,9
612,10
613,3
614,5
615,10
616,8
617,9
618,4
619,9
620,7
621,4
622,4
623,5
624,6
625,6
626,1
627,8
628,9
629,6
630,3
631,5
632,2
633,10
634,9
635,8
636,9
637,8
638,8
639,3
640,10
641,3
642,2
643,9
644,6
645,4
646,6
647,10
648,5
649,3
650,7
651,10
652,2
653,5
654,10
655,5
656,5
657,5
658,8
659,10
660,1
661,6
662,10
663,9
664,9
665,9
666,7
667,4
668,9
669,4
670,7
671,6
672,2
673,10
674,4
675,5
676,3
677,1
678,5
679,1
680,2
681,2
682,2
683,4
684,10
685,0
686,10
687,4
688,10
689,6
690,2
691,9
692,1
693,5
694,2
695,8
696,6
697,8
698,10
699,9
700,1
701,10
702,10
703,10
704,10
705,10
706,10
707,2
708,5
709,9
710,8
711,8
712,6
713,9
714,6
715,4
716,5
717,5
718,4
719,9
720,10
721,6
722,5
723,10
724,9
725,4
726,5
727,8
728,2
729,10
730,8
731,2
732,2
733,5
734,2
735,1
736,3
737,10
738,2
739,7
740,3
741,3
742,3
743,3
744,7
745,5
746,2
747,9
748,6
749,8
750,4
751,1
752,6
753,5
754,2
755,6
756,8
757,10
758,9
759,10
760,2
761,10
762,10
763,6
764,1
765,3
766,2
767,9
768,2
769,10
770,2
771,4
772,10
773,5
774,3
775,9
776,8
777,5
778,10
779,4
780,10
781,6
782,5
783,9
784,6
785,4
786,0
787,0
788,8
789,10
790,10
791,8
792,7
793,9
794,7
795,2
796,9
797,2
798,6
799,10
800,4
801,3
802,4
803,8
804,7
805,3
806,10
807,8
808,10
809,4
810,6
811,9
812,5
813,5
814,6
815,4
816,5
817,9
818,10
819,10
820,10
821,8
822,9
823,10
824,2
825,10
826,2
827,2
828,9
829,8
830,7
831,10
832,8
833,1
834,1
835,6
836,5
837,8
838,10
839,3
840,5
841,10
842,5
843,2
844,8
845,9
846,8
847,10
848,3
849,8
850,2
851,9
852,10
853,1
854,10
855,10
856,10
857,10
858,7
859,2
860,1
861,10
862,5
863,9
864,3
865,2
866,2
867,6
868,10
869,2
870,2
871,10
872,5
873,6
874,9
875,3
876,8
877,2
878,5
879,10
880,5
881,9
882,10
883,6
884,10
885,9
886,3
887,4
888,2
889,4
890,6
891,8
892,8
893,10
894,6
895,10
896,8
897,5
898,10
899,9
900,6
901,10
902,6
903,9
904,5
905,9
906,7
907,5
908,6
909,9
910,10
911,6
912,4
913,10
914,4
915,3
916,5
917,3
918,9
919,5
920,3
921,4
922,8
923,9
924,9
925,2
926,5
927,10
928,10
929,9
930,9
931,5
932,2
933,4
934,3
935,5
936,1
937,8
938,8
939,4
940,9
941,5
942,9
943,10
944,10
945,10
946,7
947,8
948,10
949,9
950,7
951,10
952,6
953,9
954,4
955,2
956,6
957,6
958,10
959,5
960,2
961,5
962,2
963,10
964,5
965,6
966,9
967,5
968,1
969,4
970,10
971,6
972,2
973,2
974,3
975,10
976,2
977,5
978,9
979,0
980,2
981,6
982,0
983,9
984,5
985,1
986,10
987,2
988,10
989,9
990,5
991,6
992,8
993,6
994,2
995,8
996,4
997,2
998,9
999,4
1000,9
1001,2
1002,10
1003,10
1004,3
1005,6
1006,4
1007,2
1008,1
1009,6
1010,5
1011,9
1012,6
1013,5
1014,0
1015,10
1016,4
1017,5
1018,10
1019,9
1020,10
1021,9
1022,5
1023,8
1024,9
1025,2
1026,10
1027,2
1028,10
1029,8
1030,10
1031,10
1032,6
1033,1
1034,8
1035,10
1036,8
1037,4
1038,5
1039,8
1040,9
1041,10
1042,9
1043,2
1044,8
1045,9
1046,2
1047,5
1048,5
1049,9
1050,10
1051,3
1052,9
1053,5
1054,10
1055,9
1056,0
1057,5
1058,9
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,8
1066,1
1067,10
1068,4
1069,9
1070,9
1071,6
1072,7
1073,9
1074,10
1075,2
1076,8
1077,5
1078,2
1079,10
1080,9
1081,2
1082,6
1083,9
1084,2
1085,3
1086,7
1087,5
1088,2
1089,4
1090,1
1091,10
1092,1
1093,5
1094,5
1095,2
1096,10
1097,2
1098,10
1099,6
1100,7
1101,8
1102,5
1103,10
1104,6
1105,1
1106,9
1107,10
1108,8
1109,9
1110,2
1111,9
1112,2
1113,9
1114,6
1115,3
1116,9
1117,5
1118,5
1119,8
1120,6
1121,6
1122,7
1123,10
1124,1
1125,9
1126,6
1127,10
1128,8
1129,4
1130,2
1131,10
1132,2
1133,6
1134,10
1135,8
1136,10
1137,9
1138,7
1139,10
1140,6
1141,10
1142,9
1143,2
1144,8
1145,10
1146,8
1147,10
1148,1
1149,10
1150,4
1151,10
1152,10
1153,5
1154,8
1155,6
1156,5
1157,5
1158,2
1159,9
1160,8
1161,2
1162,9
1163,9
1164,10
1165,2
1166,5
1167,5
1168,2
1169,5
1170,4
1171,9
1172,6
1173,2
1174,10
1175,5
1176,10
1177,1
1178,2
1179,4
1180,1
1181,6
1182,1
1183,5
1184,2
1185,6
1186,6
1187,5
1188,8
1189,9
1190,7
1191,2
1192,8
1193,6
1194,10
1195,3
1196,4
1197,5
1198,2
1199,6
1200,2
1201,5
1202,8
1203,3
1204,8
1205,5
1206,8
1207,9
1208,9
1209,3
1210,9
1211,10
1212,5
1213,10
1214,2
1215,10
1216,8
1217,10
1218,2
1219,9
1220,10
1221,10
1222,5
1223,1
1224,6
1225,6
1226,9
1227,6
1228,10
1229,9
1230,0
1231,4
1232,10
1233,10
1234,2
1235,8
1236,10
1237,3
1238,4
1239,9
1240,2
1241,4
1242,10
1243,6
1244,9
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,5
1254,5
1255,10
1256,4
1257,10
1258,8
1259,1
1260,1
1261,2
1262,5
1263,4
1264,4
1265,9
1266,5
1267,10
1268,10
1269,10
1270,2
1271,2
1272,2
1273,2
1274,10
1275,1
1276,0
1277,10
1278,10
1279,2
1280,2
1281,2
1282,9
1283,5
1284,6
1285,2
1286,10
1287,9
1288,10
1289,10
1290,8
1291,8
1292,5
1293,5
1294,10
1295,5
1296,2
1297,5
1298,9
1299,2
1300,9
1301,5
1302,5
1303,2
1304,0
1305,2
1306,1
1307,6
1308,2
1309,3
1310,10
1311,3
1312,9
1313,9
1314,10
1315,3
1316,6
1317,10
1318,5
1319,10
1320,2
1321,6
1322,3
1323,6
1324,10
1325,2
1326,3
1327,4
1328,4
1329,9
1330,10
1331,9
1332,9
1333,10
1334,5
1335,4
1336,10
1337,8
1338,4
1339,2
1340,2
1341,10
1342,4
1343,10
1344,9
1345,7
1346,10
1347,10
1348,10
1349,10
1350,8
1351,5
1352,1
1353,8
1354,8
1355,7
1356,5
1357,6
1358,9
1359,9
1360,6
1361,9
1362,5
1363,5
1364,10
1365,7
1366,6
1367,2
1368,9
1369,9
1370,8
1371,9
1372,2
1373,2
1374,9
1375,4
1376,10
1377,8
1378,1
1379,8
1380,4
1381,3
1382,8
1383,10
1384,5
1385,4
1386,4
1387,10
1388,9
1389,10
1390,10
1391,5
1392,2
1393,5
1394,1
1395,2
1396,10
1397,2
1398,8
1399,9
1400,9
1401,9
1402,9
1403,9
1404,9
1405,4
1406,9
1407,7
1408,8
1409,2
1410,4
1411,10
1412,6
1413,8
1414,8
1415,5
1416,8
1417,6
1418,5
1419,0
1420,10
1421,2
1422,3
1423,8
1424,10
1425,2
1426,6
1427,6
1428,5
1429,9
1430,9
1431,7
1432,8
1433,5
1434,8
1435,6
1436,5
1437,10
1438,5
1439,5
1440,9
1441,6
1442,3
1443,8
1444,10
1445,6
1446,9
1447,10
1448,7
1449,10
1450,3
1451,4
1452,8
1453,9
1454,2
1455,10
1456,9
1457,10
1458,10
1459,4
1460,2
1461,5
1462,8
1463,10
1464,9
1465,5
1466,8
1467,9
1468,8
1469,2
1470,2
1471,9
1472,9
1473,2
1474,10
1475,10
1476,9
1477,4
1478,10
1479,6
1480,6
1481,5
1482,9
1483,9
1484,6
1485,10
1486,10
1487,3
1488,10
1489,6
1490,2
1491,10
1492,8
1493,2
1494,10
1495,9
1496,9
1497,10
1498,2
1499,10
1500,10
1501,7
1502,8
1503,9
1504,9
1505,9
1506,2
1507,7
1508,8
1509,4
1510,4
1511,10
1512,10
1513,6
1514,8
1515,9
1516,10
1517,5
1518,8
1519,1
1520,5
1521,2
1522,7
1523,2
1524,4
1525,5
1526,6
1527,4
1528,4
1529,10
1530,10
1531,5
1532,0
1533,4
1534,2
1535,7
1536,8
1537,2
1538,6
1539,9
1540,9
1541,6
1542,4
1543,6
1544,6
1545,6
1546,9
1547,10
1548,10
1549,4
1550,2
1551,8
1552,6
1553,10
1554,5
1555,2
1556,2
1557,5
1558,6
1559,9
1560,0
1561,10
1562,3
1563,9
1564,7
1565,6
1566,9
1567,1
1568,9
1569,1
1570,2
1571,5
1572,10
1573,10
1574,10
1575,4
1576,2
1577,9
1578,2
1579,7
1580,9
1581,6
1582,8
1583,9
1584,8
1585,3
1586,4
1587,5
1588,2
1589,10
1590,2
1591,10
1592,9
1593,10
1594,10
1595,4
1596,10
1597,6
1598,3
1599,10
1600,9
1601,4
1602,5
1603,9
1604,8
1605,8
1606,10
1607,2
1608,10
1609,6
1610,9
1611,1
1612,9
1613,10
1614,6
1615,7
1616,6
1617,10
1618,3
1619,2
1620,4
1621,4
1622,1
1623,8
1624,10
1625,2
1626,3
1627,1
1628,9
1629,1
1630,5
1631,10
1632,5
1633,9
1634,8
1635,3
1636,6
1637,8
1638,5
1639,1
1640,5
1641,1
1642,5
1643,7
1644,9
1645,2
1646,2
1647,5
1648,1
1649,8
1650,7
1651,5
1652,10
1653,1
1654,9
1655,10
1656,1
1657,3
1658,5
1659,1
1660,7
1661,4
1662,1
1663,5
1664,5
1665,7
1666,10
1667,5
1668,0
1669,4
1670,4
1671,2
1672,6
1673,8
1674,9
1675,10
1676,5
1677,7
1678,5
1679,3
1680,10
1681,5
1682,4
1683,3
1684,5
1685,10
1686,2
1687,8
1688,8
1689,10
1690,2
1691,2
1692,5
1693,9
1694,5
1695,9
1696,8
1697,9
1698,9
1699,5
1700,4
1701,9
1702,10
1703,6
1704,8
1705,8
1706,10
1707,10
1708,0
1709,6
1710,3
1711,10
1712,2
1713,4
1714,4
1715,9
1716,10
1717,5
1718,10
1719,5
1720,8
1721,5
1722,4
1723,2
1724,9
1725,10
1726,6
1727,10
1728,1
1729,3
1730,2
1731,9
1732,9
1733,2
1734,6
1735,6
1736,3
1737,7
1738,10
1739,10
1740,2
1741,7
1742,9
1743,9
1744,10
1745,6
1746,10
1747,4
1748,6
